Accuracy,Precision,Recall,F1-Score,clf
0.8156424581005587,0.7837837837837838,0.7733333333333333,0.7785234899328859,AdaBoostClassifier()
0.8212290502793296,0.7837837837837838,0.7837837837837838,0.7837837837837838,AdaBoostClassifier(n_estimators=100)
0.8156424581005587,0.7702702702702703,0.7808219178082192,0.7755102040816327,AdaBoostClassifier(n_estimators=200)
0.7988826815642458,0.7432432432432432,0.7638888888888888,0.7534246575342465,RandomForestClassifier()
0.7988826815642458,0.7162162162162162,0.7794117647058824,0.7464788732394366,RandomForestClassifier(n_estimators=50)
0.7932960893854749,0.7162162162162162,0.7681159420289855,0.7412587412587412,RandomForestClassifier(criterion='entropy')
0.7821229050279329,0.7162162162162162,0.7464788732394366,0.7310344827586208,RandomForestClassifier(n_estimators=200)
0.7877094972067039,0.7162162162162162,0.7571428571428571,0.736111111111111,"RandomForestClassifier(criterion='entropy', n_estimators=200)"
0.7821229050279329,0.7027027027027027,0.7536231884057971,0.7272727272727273,"RandomForestClassifier(criterion='entropy', n_estimators=50)"
0.7821229050279329,0.7027027027027027,0.7536231884057971,0.7272727272727273,AdaBoostClassifier(learning_rate=2.0)
0.7821229050279329,0.7027027027027027,0.7536231884057971,0.7272727272727273,"AdaBoostClassifier(learning_rate=2.0, n_estimators=100)"
0.7821229050279329,0.7027027027027027,0.7536231884057971,0.7272727272727273,"AdaBoostClassifier(learning_rate=2.0, n_estimators=200)"
